Wage Education South Gender Experience Union Age Race Occupation Sector Mstat
B ED3 S0 G1 EX1 U0 A2 R3 O6 SE0 M1
B ED3 S1 G1 EX1 U0 A1 R3 O6 SE0 M0
B ED3 S1 G0 EX3 U1 A3 R3 O6 SE1 M1
B ED3 S1 G0 EX1 U0 A1 R3 O6 SE1 M1
B ED3 S0 G0 EX2 U0 A2 R3 O6 SE1 M1
A ED3 S0 G0 EX1 U0 A1 R3 O6 SE0 M0
A ED3 S1 G1 EX1 U0 A1 R1 O6 SE1 M1
C ED3 S0 G0 EX2 U0 A2 R3 O6 SE1 M1
B ED3 S0 G0 EX1 U1 A1 R1 O6 SE0 M1
B ED4 S0 G1 EX1 U0 A1 R3 O6 SE1 M1
C ED3 S0 G0 EX2 U1 A3 R3 O6 SE2 M1
B ED3 S0 G1 EX2 U0 A2 R3 O6 SE1 M1
C ED3 S0 G0 EX1 U0 A1 R3 O6 SE0 M1
C ED3 S0 G0 EX1 U1 A1 R3 O6 SE0 M1
B ED2 S0 G0 EX1 U0 A1 R3 O6 SE2 M1
B ED3 S0 G0 EX1 U0 A1 R3 O6 SE0 M0
B ED3 S0 G0 EX2 U0 A2 R3 O6 SE1 M1
C ED3 S0 G1 EX1 U0 A1 R3 O6 SE1 M0
C ED3 S1 G0 EX1 U0 A1 R3 O6 SE0 M1
C ED3 S0 G0 EX2 U1 A2 R3 O6 SE0 M1
C ED2 S1 G0 EX3 U0 A3 R3 O6 SE2 M1
C ED3 S0 G0 EX1 U1 A1 R3 O6 SE0 M1
C ED2 S0 G0 EX3 U0 A3 R3 O6 SE1 M1
C ED3 S0 G0 EX1 U1 A1 R3 O6 SE0 M1
C ED3 S0 G0 EX1 U0 A1 R3 O6 SE2 M0
C ED3 S0 G0 EX3 U1 A3 R3 O6 SE2 M1
B ED3 S0 G0 EX1 U0 A1 R3 O6 SE2 M0
B ED3 S1 G0 EX2 U0 A2 R3 O6 SE2 M1
A ED4 S0 G0 EX1 U1 A1 R3 O6 SE0 M0
A ED3 S0 G0 EX1 U0 A1 R3 O6 SE2 M0
C ED3 S0 G0 EX1 U1 A1 R3 O6 SE0 M1
B ED2 S0 G1 EX2 U0 A2 R2 O6 SE0 M1
B ED3 S0 G0 EX1 U0 A1 R3 O6 SE0 M1
B ED3 S0 G0 EX1 U1 A1 R3 O6 SE0 M1
A ED3 S0 G1 EX1 U0 A1 R3 O6 SE1 M0
B ED3 S0 G0 EX2 U0 A2 R3 O6 SE0 M1
C ED3 S1 G0 EX2 U1 A2 R3 O6 SE1 M1
A ED3 S1 G0 EX1 U0 A1 R3 O6 SE2 M0
B ED3 S1 G0 EX1 U0 A1 R3 O6 SE1 M0
B ED2 S1 G1 EX2 U0 A2 R3 O6 SE1 M1
B ED3 S0 G0 EX1 U0 A2 R3 O6 SE0 M1
A ED3 S1 G1 EX1 U0 A1 R1 O6 SE1 M1
A ED3 S1 G0 EX1 U0 A2 R2 O6 SE0 M0
B ED3 S1 G0 EX1 U1 A1 R2 O6 SE0 M0
B ED3 S0 G0 EX1 U0 A1 R3 O6 SE1 M0
C ED3 S0 G0 EX1 U0 A1 R3 O6 SE0 M1
B ED3 S0 G0 EX1 U0 A1 R3 O6 SE1 M0
A ED2 S0 G0 EX1 U0 A1 R1 O6 SE1 M0
B ED2 S1 G0 EX1 U0 A1 R3 O6 SE2 M1
B ED3 S0 G0 EX1 U0 A1 R3 O6 SE0 M0
A ED2 S1 G0 EX3 U0 A3 R3 O6 SE1 M1
B ED2 S0 G0 EX3 U0 A3 R3 O6 SE1 M1
B ED3 S0 G0 EX1 U0 A1 R3 O6 SE0 M1
B ED3 S1 G0 EX1 U0 A1 R3 O6 SE0 M1
B ED3 S0 G0 EX1 U0 A2 R3 O6 SE1 M1
C ED3 S0 G0 EX1 U1 A1 R3 O6 SE1 M0
C ED3 S1 G0 EX2 U1 A2 R1 O6 SE2 M1
B ED2 S1 G0 EX2 U1 A2 R3 O6 SE2 M1
B ED3 S1 G0 EX3 U0 A3 R3 O6 SE0 M1
A ED3 S0 G1 EX1 U0 A1 R3 O6 SE1 M0
C ED3 S0 G0 EX3 U1 A3 R3 O6 SE0 M1
C ED3 S1 G0 EX1 U1 A2 R3 O6 SE0 M1
B ED3 S1 G0 EX1 U0 A1 R3 O6 SE1 M1
A ED2 S1 G1 EX2 U0 A2 R1 O6 SE1 M0
C ED3 S0 G0 EX2 U0 A2 R3 O6 SE1 M1
A ED3 S1 G0 EX1 U0 A1 R3 O6 SE0 M1
B ED3 S1 G0 EX1 U0 A2 R1 O6 SE0 M0
B ED3 S1 G0 EX1 U0 A1 R3 O6 SE0 M0
B ED3 S0 G0 EX1 U0 A1 R3 O6 SE1 M1
C ED4 S0 G0 EX1 U0 A2 R3 O1 SE0 M1
C ED3 S1 G0 EX2 U0 A2 R3 O1 SE0 M1
B ED3 S0 G0 EX1 U0 A1 R3 O1 SE0 M0
A ED3 S1 G1 EX1 U0 A1 R2 O1 SE0 M0
C ED3 S1 G1 EX2 U0 A2 R2 O1 SE0 M1
C ED3 S0 G0 EX2 U0 A3 R3 O1 SE0 M0
C ED4 S0 G1 EX1 U0 A2 R3 O1 SE0 M1
B ED3 S0 G0 EX1 U0 A2 R3 O1 SE0 M0
C ED3 S0 G1 EX2 U0 A2 R3 O1 SE0 M1
A ED4 S0 G0 EX1 U0 A1 R3 O1 SE0 M0
C ED4 S0 G0 EX1 U0 A1 R1 O1 SE0 M0
A ED4 S0 G0 EX1 U1 A1 R3 O1 SE0 M1
C ED4 S1 G0 EX2 U0 A3 R3 O1 SE0 M1
B ED3 S0 G1 EX2 U0 A2 R3 O1 SE0 M1
C ED3 S0 G1 EX1 U0 A1 R3 O1 SE0 M0
C ED3 S0 G0 EX3 U0 A3 R3 O1 SE1 M1
C ED4 S0 G1 EX1 U0 A1 R1 O1 SE1 M0
B ED3 S0 G1 EX2 U0 A3 R3 O1 SE0 M1
B ED3 S0 G0 EX2 U0 A2 R1 O1 SE0 M0
C ED4 S0 G0 EX1 U0 A2 R3 O1 SE0 M1
C ED4 S0 G1 EX2 U0 A2 R3 O1 SE0 M1
C ED4 S0 G0 EX1 U0 A1 R3 O1 SE0 M1
A ED3 S0 G1 EX3 U0 A3 R3 O1 SE0 M1
C ED3 S1 G0 EX2 U0 A3 R3 O1 SE0 M1
C ED4 S0 G0 EX2 U0 A3 R3 O1 SE0 M1
B ED4 S1 G0 EX1 U0 A1 R3 O1 SE0 M0
C ED4 S0 G0 EX1 U0 A2 R3 O1 SE1 M0
C ED4 S0 G0 EX1 U0 A1 R3 O1 SE0 M0
C ED4 S0 G0 EX2 U0 A2 R3 O1 SE0 M1
C ED4 S1 G0 EX1 U0 A1 R3 O1 SE0 M1
B ED4 S0 G1 EX1 U0 A2 R3 O1 SE0 M1
C ED3 S0 G0 EX2 U0 A2 R3 O1 SE0 M1
C ED3 S0 G0 EX1 U0 A2 R3 O1 SE0 M0
C ED4 S0 G1 EX1 U0 A2 R3 O1 SE0 M1
C ED3 S0 G1 EX3 U0 A3 R3 O1 SE0 M1
B ED3 S1 G0 EX1 U0 A1 R1 O1 SE0 M1
A ED3 S0 G1 EX1 U0 A1 R3 O1 SE0 M1
B ED4 S1 G1 EX1 U0 A2 R3 O1 SE0 M0
B ED2 S0 G0 EX2 U0 A2 R3 O1 SE0 M1
B ED4 S0 G0 EX1 U1 A1 R2 O1 SE0 M1
B ED4 S0 G1 EX2 U0 A2 R3 O1 SE0 M1
B ED4 S0 G0 EX1 U0 A2 R3 O1 SE0 M1
C ED3 S0 G0 EX2 U0 A3 R3 O1 SE0 M0
A ED3 S0 G0 EX2 U0 A2 R3 O1 SE0 M1
B ED3 S1 G0 EX3 U0 A3 R3 O1 SE0 M1
B ED4 S0 G0 EX1 U0 A1 R1 O1 SE0 M1
C ED4 S1 G0 EX1 U0 A2 R3 O1 SE0 M0
B ED3 S1 G1 EX1 U0 A1 R3 O1 SE0 M0
C ED4 S0 G1 EX1 U0 A1 R3 O1 SE1 M1
A ED3 S0 G1 EX1 U0 A1 R3 O1 SE0 M1
C ED4 S0 G0 EX2 U0 A3 R3 O1 SE0 M1
C ED3 S0 G1 EX1 U0 A1 R3 O1 SE1 M1
B ED3 S0 G1 EX1 U0 A1 R3 O1 SE0 M1
C ED4 S0 G0 EX2 U1 A2 R1 O1 SE1 M1
C ED4 S0 G0 EX1 U0 A2 R3 O1 SE0 M1
A ED3 S0 G1 EX2 U0 A3 R3 O2 SE0 M1
B ED3 S0 G0 EX1 U0 A2 R3 O2 SE0 M1
C ED4 S0 G0 EX1 U0 A2 R3 O2 SE0 M1
C ED3 S0 G0 EX2 U0 A2 R3 O2 SE0 M0
B ED3 S0 G0 EX1 U0 A1 R3 O2 SE0 M0
A ED3 S1 G1 EX2 U0 A2 R3 O2 SE0 M1
C ED3 S0 G0 EX3 U0 A3 R3 O2 SE1 M1
B ED3 S0 G1 EX1 U0 A1 R3 O2 SE0 M1
A ED4 S1 G1 EX1 U0 A2 R1 O2 SE0 M1
C ED3 S1 G0 EX2 U0 A2 R3 O2 SE0 M1
A ED3 S1 G1 EX2 U0 A2 R1 O2 SE0 M1
B ED3 S0 G1 EX3 U0 A3 R3 O2 SE0 M1
B ED3 S1 G0 EX1 U0 A1 R3 O2 SE0 M0
B ED3 S1 G0 EX2 U0 A2 R3 O2 SE1 M1
B ED4 S0 G1 EX1 U0 A1 R3 O2 SE0 M1
C ED4 S0 G0 EX1 U0 A2 R3 O2 SE0 M1
A ED3 S0 G1 EX2 U0 A3 R3 O2 SE0 M1
A ED3 S1 G1 EX1 U0 A1 R3 O2 SE0 M1
A ED3 S1 G1 EX1 U0 A1 R3 O2 SE0 M0
C ED3 S1 G0 EX3 U0 A3 R3 O2 SE0 M1
A ED3 S1 G1 EX1 U0 A1 R3 O2 SE0 M1
A ED3 S0 G1 EX1 U0 A1 R3 O2 SE0 M0
B ED3 S0 G0 EX1 U0 A1 R3 O2 SE0 M1
B ED3 S0 G1 EX1 U0 A1 R3 O2 SE1 M1
A ED3 S0 G0 EX1 U0 A2 R3 O2 SE0 M1
C ED3 S0 G1 EX2 U0 A3 R3 O2 SE0 M1
A ED3 S0 G1 EX1 U0 A1 R3 O2 SE0 M1
C ED3 S0 G0 EX2 U0 A2 R3 O2 SE0 M1
C ED3 S0 G0 EX3 U1 A3 R3 O2 SE0 M1
B ED3 S1 G1 EX2 U0 A2 R1 O2 SE0 M1
A ED3 S0 G1 EX1 U0 A1 R3 O2 SE0 M0
A ED3 S0 G0 EX1 U0 A1 R2 O2 SE0 M0
B ED3 S1 G0 EX2 U0 A3 R3 O2 SE0 M1
B ED3 S0 G0 EX2 U0 A2 R3 O2 SE0 M1
A ED4 S1 G0 EX1 U0 A1 R3 O2 SE0 M0
A ED3 S0 G0 EX2 U0 A3 R3 O2 SE0 M1
B ED3 S0 G0 EX1 U0 A1 R3 O2 SE0 M0
C ED4 S0 G0 EX1 U0 A2 R3 O2 SE1 M1
A ED3 S0 G1 EX1 U0 A2 R2 O3 SE0 M1
B ED3 S1 G1 EX1 U0 A1 R3 O3 SE0 M1
B ED4 S0 G1 EX1 U0 A1 R3 O3 SE0 M1
B ED3 S0 G1 EX2 U0 A2 R3 O3 SE0 M0
B ED3 S0 G1 EX1 U0 A2 R1 O3 SE0 M1
B ED4 S0 G1 EX2 U0 A3 R3 O3 SE1 M1
B ED4 S0 G1 EX1 U0 A1 R3 O3 SE0 M0
C ED3 S0 G0 EX1 U0 A1 R3 O3 SE0 M1
B ED3 S0 G1 EX2 U0 A2 R3 O3 SE0 M0
B ED4 S1 G1 EX1 U0 A2 R2 O3 SE0 M1
B ED3 S0 G1 EX1 U1 A2 R3 O3 SE0 M0
A ED3 S1 G1 EX1 U0 A1 R2 O3 SE0 M0
B ED3 S0 G1 EX2 U0 A2 R3 O3 SE0 M1
C ED3 S0 G1 EX3 U0 A3 R3 O3 SE2 M1
C ED3 S0 G1 EX1 U0 A1 R3 O3 SE1 M1
B ED3 S1 G1 EX1 U0 A2 R3 O3 SE0 M1
B ED3 S0 G1 EX2 U0 A2 R3 O3 SE0 M1
A ED4 S1 G1 EX1 U0 A1 R3 O3 SE0 M1
B ED3 S0 G1 EX2 U0 A2 R3 O3 SE0 M1
B ED3 S0 G1 EX3 U0 A3 R3 O3 SE0 M1
B ED3 S0 G0 EX2 U1 A2 R3 O3 SE0 M1
B ED3 S0 G1 EX3 U0 A3 R3 O3 SE0 M1
B ED4 S1 G0 EX1 U0 A2 R3 O3 SE0 M1
B ED3 S0 G1 EX1 U0 A1 R1 O3 SE0 M1
C ED3 S1 G1 EX2 U0 A3 R1 O3 SE0 M1
B ED4 S1 G1 EX1 U0 A1 R3 O3 SE0 M0
C ED3 S1 G1 EX2 U0 A2 R3 O3 SE0 M0
A ED4 S0 G0 EX1 U0 A1 R1 O3 SE0 M0
B ED3 S0 G1 EX1 U1 A1 R3 O3 SE0 M0
B ED3 S0 G1 EX3 U0 A3 R3 O3 SE1 M1
B ED3 S1 G0 EX1 U0 A1 R3 O3 SE0 M1
A ED3 S1 G0 EX1 U0 A1 R1 O3 SE0 M1
A ED3 S0 G1 EX1 U0 A1 R3 O3 SE0 M1
A ED3 S1 G1 EX2 U0 A2 R3 O3 SE0 M1
A ED3 S1 G1 EX1 U0 A1 R3 O3 SE0 M0
B ED3 S1 G0 EX1 U0 A1 R3 O3 SE0 M0
C ED3 S0 G1 EX1 U0 A1 R3 O3 SE1 M1
A ED3 S0 G1 EX3 U0 A3 R3 O3 SE0 M1
C ED3 S0 G1 EX2 U0 A2 R3 O3 SE0 M1
C ED4 S0 G1 EX2 U0 A3 R1 O3 SE0 M1
B ED4 S0 G0 EX1 U0 A1 R1 O3 SE0 M0
A ED3 S0 G1 EX2 U0 A2 R1 O3 SE0 M0
B ED3 S0 G0 EX1 U0 A1 R1 O3 SE0 M0
C ED3 S0 G1 EX1 U0 A2 R3 O3 SE0 M1
C ED3 S1 G0 EX1 U0 A1 R3 O3 SE0 M0
B ED3 S0 G0 EX2 U0 A3 R3 O3 SE0 M0
B ED3 S0 G1 EX2 U0 A2 R3 O3 SE0 M0
A ED3 S0 G1 EX1 U0 A1 R3 O3 SE0 M1
C ED3 S1 G1 EX1 U0 A2 R3 O3 SE0 M1
A ED3 S0 G1 EX1 U0 A1 R3 O3 SE0 M0
B ED3 S0 G0 EX2 U0 A2 R3 O3 SE0 M1
B ED3 S0 G1 EX2 U0 A2 R1 O3 SE0 M0
B ED3 S0 G1 EX1 U0 A1 R3 O3 SE0 M0
C ED3 S0 G1 EX1 U1 A1 R3 O3 SE0 M1
B ED3 S0 G1 EX2 U0 A3 R3 O3 SE0 M1
B ED3 S0 G1 EX1 U0 A1 R3 O3 SE0 M0
B ED2 S0 G0 EX2 U1 A2 R3 O3 SE0 M0
B ED3 S0 G0 EX1 U0 A2 R2 O3 SE0 M0
B ED3 S1 G1 EX2 U0 A2 R3 O3 SE0 M0
A ED3 S1 G1 EX1 U0 A1 R3 O3 SE0 M1
B ED3 S0 G1 EX1 U1 A1 R3 O3 SE0 M1
A ED3 S1 G1 EX1 U0 A1 R3 O3 SE0 M0
B ED3 S1 G0 EX1 U0 A1 R1 O3 SE0 M0
A ED3 S1 G1 EX1 U0 A1 R3 O3 SE0 M0
B ED4 S0 G0 EX1 U0 A2 R1 O3 SE0 M1
B ED3 S0 G1 EX1 U0 A1 R3 O3 SE0 M0
A ED3 S1 G0 EX1 U0 A1 R3 O3 SE0 M0
B ED3 S0 G1 EX1 U0 A1 R3 O3 SE0 M0
C ED3 S0 G1 EX2 U0 A2 R3 O3 SE0 M1
B ED3 S1 G1 EX2 U0 A2 R1 O3 SE0 M1
B ED3 S1 G1 EX3 U0 A3 R3 O3 SE0 M1
B ED3 S1 G1 EX1 U0 A1 R3 O3 SE0 M1
B ED4 S1 G1 EX1 U0 A1 R1 O3 SE0 M0
C ED3 S1 G0 EX1 U1 A1 R3 O3 SE0 M1
A ED3 S1 G1 EX2 U0 A2 R3 O3 SE0 M0
B ED3 S0 G1 EX2 U0 A3 R3 O3 SE0 M1
C ED4 S0 G1 EX1 U0 A1 R3 O3 SE0 M1
C ED3 S0 G1 EX3 U0 A3 R3 O3 SE0 M1
B ED3 S0 G1 EX1 U0 A2 R3 O3 SE1 M1
B ED3 S0 G1 EX1 U0 A1 R3 O3 SE0 M0
A ED3 S1 G1 EX2 U0 A3 R3 O3 SE2 M1
B ED3 S0 G1 EX2 U0 A2 R3 O3 SE0 M1
C ED4 S0 G1 EX3 U0 A3 R3 O3 SE1 M0
B ED3 S0 G1 EX1 U0 A1 R2 O3 SE0 M1
B ED3 S0 G1 EX2 U0 A3 R3 O3 SE0 M1
A ED3 S1 G1 EX1 U0 A1 R3 O3 SE0 M1
B ED3 S0 G0 EX2 U0 A2 R3 O3 SE0 M0
A ED3 S0 G1 EX2 U0 A2 R3 O3 SE0 M1
B ED3 S0 G1 EX1 U0 A1 R3 O3 SE0 M1
A ED3 S0 G0 EX2 U0 A3 R3 O3 SE0 M1
A ED3 S0 G1 EX1 U0 A1 R3 O3 SE0 M1
C ED3 S0 G1 EX3 U0 A3 R3 O3 SE1 M0
B ED3 S0 G1 EX1 U0 A1 R3 O3 SE0 M0
A ED3 S1 G1 EX1 U0 A1 R3 O3 SE0 M1
B ED4 S1 G0 EX1 U0 A1 R3 O3 SE0 M0
B ED3 S0 G1 EX2 U1 A2 R1 O3 SE0 M1
B ED3 S1 G1 EX1 U0 A1 R3 O3 SE0 M1
B ED2 S0 G0 EX3 U0 A3 R3 O4 SE0 M1
B ED3 S0 G0 EX1 U0 A2 R3 O4 SE0 M1
A ED2 S0 G1 EX2 U0 A2 R1 O4 SE0 M1
B ED4 S1 G1 EX2 U0 A2 R3 O4 SE0 M0
A ED2 S0 G0 EX1 U0 A1 R2 O4 SE0 M0
B ED2 S0 G1 EX2 U0 A2 R1 O4 SE0 M0
A ED3 S0 G1 EX2 U0 A2 R3 O4 SE0 M1
C ED2 S1 G1 EX3 U0 A3 R1 O4 SE0 M1
A ED2 S1 G1 EX3 U0 A3 R1 O4 SE0 M1
A ED2 S0 G0 EX3 U0 A3 R3 O4 SE0 M0
A ED3 S0 G1 EX1 U0 A2 R3 O4 SE0 M0
B ED2 S0 G1 EX3 U0 A3 R3 O4 SE0 M1
A ED3 S0 G0 EX1 U0 A1 R1 O4 SE0 M0
C ED3 S0 G0 EX1 U1 A1 R1 O4 SE0 M0
A ED3 S0 G1 EX1 U0 A1 R3 O4 SE0 M1
A ED4 S0 G0 EX2 U0 A2 R3 O4 SE0 M1
B ED3 S0 G1 EX1 U0 A2 R3 O4 SE0 M1
A ED4 S0 G1 EX2 U0 A2 R3 O4 SE0 M0
B ED3 S0 G1 EX1 U0 A1 R3 O4 SE0 M1
A ED3 S1 G0 EX1 U0 A1 R2 O4 SE0 M0
A ED3 S0 G0 EX1 U0 A1 R3 O4 SE0 M1
B ED3 S1 G0 EX1 U0 A1 R3 O4 SE0 M1
A ED3 S1 G1 EX3 U0 A3 R2 O4 SE0 M1
B ED2 S1 G0 EX2 U0 A2 R3 O4 SE0 M0
A ED2 S0 G1 EX3 U0 A3 R3 O4 SE0 M0
A ED3 S0 G1 EX3 U0 A3 R3 O4 SE0 M1
B ED3 S0 G1 EX1 U0 A1 R3 O4 SE0 M1
A ED3 S0 G1 EX1 U0 A1 R3 O4 SE0 M1
B ED3 S0 G0 EX2 U0 A2 R3 O4 SE0 M0
B ED3 S0 G1 EX1 U0 A1 R3 O4 SE0 M0
B ED3 S0 G1 EX1 U1 A1 R3 O4 SE1 M1
A ED3 S0 G1 EX1 U0 A1 R3 O4 SE0 M0
A ED3 S1 G1 EX1 U0 A1 R3 O4 SE0 M1
A ED3 S1 G1 EX1 U0 A1 R1 O4 SE0 M0
B ED3 S0 G0 EX2 U1 A2 R3 O4 SE0 M1
B ED3 S0 G1 EX2 U0 A2 R3 O4 SE0 M1
B ED3 S0 G1 EX1 U1 A1 R3 O4 SE0 M0
A ED3 S1 G1 EX1 U0 A1 R3 O4 SE0 M1
A ED3 S1 G1 EX1 U0 A2 R3 O4 SE0 M1
A ED3 S1 G0 EX1 U0 A1 R1 O4 SE0 M0
B ED3 S1 G0 EX2 U0 A2 R3 O4 SE0 M1
B ED3 S0 G0 EX2 U1 A2 R3 O4 SE0 M1
A ED2 S1 G1 EX3 U0 A3 R1 O4 SE0 M1
A ED3 S0 G1 EX3 U0 A3 R3 O4 SE0 M0
A ED3 S0 G1 EX2 U0 A2 R3 O4 SE0 M1
B ED3 S0 G1 EX1 U1 A1 R3 O4 SE0 M1
C ED3 S0 G0 EX1 U0 A2 R1 O4 SE0 M1
C ED3 S0 G1 EX2 U0 A2 R3 O4 SE0 M1
B ED3 S0 G0 EX1 U0 A1 R3 O4 SE0 M1
B ED3 S1 G0 EX1 U1 A1 R3 O4 SE0 M0
B ED3 S0 G1 EX3 U1 A3 R1 O4 SE0 M1
B ED3 S0 G0 EX1 U0 A1 R1 O4 SE0 M0
A ED3 S0 G1 EX1 U0 A1 R3 O4 SE0 M0
B ED3 S1 G1 EX2 U0 A2 R3 O4 SE0 M1
B ED2 S0 G1 EX2 U1 A2 R3 O4 SE0 M1
B ED3 S0 G1 EX1 U0 A1 R3 O4 SE0 M1
B ED3 S1 G1 EX1 U0 A1 R3 O4 SE0 M0
B ED3 S0 G1 EX3 U1 A3 R3 O4 SE0 M0
B ED3 S0 G0 EX1 U0 A1 R1 O4 SE0 M0
B ED2 S0 G0 EX3 U1 A3 R2 O4 SE0 M1
B ED4 S0 G1 EX1 U0 A1 R1 O4 SE0 M1
A ED2 S1 G1 EX2 U0 A3 R3 O4 SE0 M0
B ED4 S0 G0 EX1 U0 A1 R3 O4 SE1 M0
C ED3 S0 G0 EX1 U1 A1 R2 O4 SE0 M0
